ID,NAME,NAME_DE,IMAGE,Description,Descritpion_DE,Apt
1,Rogue Trader,Freihändler,roguetrader.png,"Rogue Traders are powerful individuals granted a special charter by the Imperium, allowing them to explore, trade, and conquer beyond Imperial borders. They command vast starships and operate with near-autonomous authority, pursuing wealth, power, and discovery. While officially serving the Imperium, many walk a thin line between loyalty and self-interest.","Freihändler sind mächtige Individuen, die durch ein besonderes Kaperbrief des Imperiums ermächtigt sind, jenseits der imperialen Grenzen zu erkunden, zu handeln und zu erobern. Sie führen gewaltige Raumschiffe und agieren mit nahezu vollständiger Autonomie, stets auf der Suche nach Reichtum, Macht und Entdeckungen. Obwohl sie offiziell dem Imperium dienen, bewegen sich viele Freihändler auf einem schmalen Grat zwischen Loyalität und Eigeninteresse.",Leadership
2,Arch-Militant,Erzmilitant,arch_militant.png,"The Arch-Militant is a master of combat, serving as the military commander or personal bodyguard aboard a Rogue Trader's vessel. Hardened by countless battles, they excel in warfare, weapon mastery, and battlefield tactics. Loyal and deadly, they ensure the Rogue Trader’s will is enforced through strength and firepower.","Der Erzmilitant ist ein Kampfspezialist, der als militärischer Befehlshaber oder persönlicher Leibwächter an Bord eines Freihändlerschiffs dient. Durch zahllose Schlachten gestählt, beherrscht er die Kriegskunst, den Waffeneinsatz und die Taktik des Schlachtfelds. Loyal und tödlich sorgt er dafür, dass der Wille des Freihändlers mit Stärke und Feuerkraft durchgesetzt wird.",Offence
3,Astropath Transcendent,Erhabener Astropath,astropath.png,"An Astropath Transcendent is a highly trained psyker, soul-bound to the Emperor through an intense psychic ritual. They serve as vital communicators across the vast distances of space, transmitting messages through the Warp. Though often physically frail and scarred by their binding, they possess immense psychic power and mystical insight.","Ein Erhabener Astropath ist ein mächtiger Psioniker, der durch das Ritual der Seelenbindung an die Seele des Imperators geknüpft ist. Sie dienen als interstellare Kommunikatoren, die Nachrichten über die unvorstellbaren Weiten des Warps senden. Trotz der körperlichen und geistigen Narben, die der Bindungsprozess hinterlässt, verfügen sie über gewaltige psionische Kräfte, die für das Überleben des Imperiums unerlässlich sind.",Defense|Psyker
4,Explorator,Explorator,explorator.png,"An Explorator is a tech-priest of the Adeptus Mechanicus dedicated to exploring uncharted regions of the galaxy in search of lost technology, ancient relics, and forgotten knowledge. They are often members of Explorator Fleets, venturing into dangerous and unknown sectors. Driven by religious devotion to the Machine God, they combine scientific curiosity with a relentless pursuit of technological supremacy.","Ein Explorator ist ein Tech-Priester des Adeptus Mechanicus, der sich der Erforschung unerforschter Regionen der Galaxis widmet, um verlorene Technologien, antike Relikte und vergessenes Wissen zu entdecken. Sie sind häufig Mitglieder von Exploratorflotten und dringen in gefährliche und unbekannte Sektoren vor. Angetrieben von religiöser Hingabe an den Maschinengott verbinden sie wissenschaftliche Neugier mit einem unermüdlichen Streben nach technologischer Überlegenheit.",Tech 
5,Missionary,Missionar,missionary.png,"A Missionary is a devoted servant of the Imperial Creed, tasked with spreading the faith in the Emperor throughout the galaxy. They travel to remote and dangerous worlds, converting or purging populations as needed. Armed with spiritual zeal, fiery oratory, and often a holy arsenal, they are both preachers and warriors in service to the Ecclesiarchy and the Imperium.","Ein Missionar ist ein ergebenes Mitglied des imperialen Glaubens, dessen Aufgabe es ist, den Glauben an den Imperator in der gesamten Galaxis zu verbreiten. Sie reisen zu abgelegenen und gefährlichen Welten, um die Bevölkerung zu bekehren oder im schlimmsten Fall zu reinigen. Bewaffnet mit spirituellem Eifer, mitreißender Rhetorik und oft einem heiligen Waffenarsenal sind sie sowohl Prediger als auch Krieger im Dienst der Ekklesiarchie und des Imperiums.",WP|Faith
6,Navigator,Navigator,navigator.png,"A Navigator is a highly specialized human mutant born with the Warp Eye, a third eye that allows them to see into the Warp and guide starships through its turbulent tides. They belong to powerful Navigator Houses, wielding immense political influence due to their essential role in space travel. Navigators are both feared and respected for their supernatural abilities, which are vital for the Imperium’s interstellar expansion.","Ein Navigator ist ein hoch spezialisierter menschlicher Mutant, der mit dem Warp-Auge, einem dritten Auge, geboren wird, das ihm erlaubt, in den Warp zu blicken und Raumschiffe durch dessen gefährliche Strömungen zu führen. Sie gehören mächtigen Navigatorenhäusern an und besitzen enormen politischen Einfluss, da sie für den interstellaren Raumflug unverzichtbar sind. Navigatoren werden gleichermaßen gefürchtet und respektiert für ihre übernatürlichen Fähigkeiten, die für die Expansion des Imperiums von entscheidender Bedeutung sind.",Social|PsykerNAV
7,Seneschal,Seneschall (Verwalter),seneschal.png,"A Seneschal is a master administrator, spy, and advisor, responsible for managing a Rogue Trader's vast holdings, wealth, and intelligence network. They are skilled in diplomacy, trade, and subterfuge, ensuring the smooth operation of commercial ventures and political dealings. Seneschals are invaluable, combining sharp intellect with ruthless efficiency in service to their master’s ambitions.","Ein Seneschall ist ein Meister der Verwaltung, Spionage und Beratung, der für die Verwaltung des ausgedehnten Besitzes, des Reichtums und des Informationsnetzwerks eines Freihändlers verantwortlich ist. Er beherrscht Diplomatie, Handel und Intrigen, um kommerzielle Unternehmen und politische Geschäfte reibungslos abzuwickeln. Seneschalle sind unverzichtbar und kombinieren scharfen Verstand mit gnadenloser Effizienz, um die ehrgeizigen Ziele ihres Meisters zu unterstützen.",Fieldcraft
8,Void-Master,Void-Meister,void_master.png,"A Void-Master is an expert in starship operations, responsible for overseeing vital shipboard functions such as navigation, piloting, weapon control, or engineering. They are seasoned veterans of space travel, possessing unmatched technical and tactical skills. Void-Masters ensure the efficient and effective running of a Rogue Trader's vessel, making them indispensable in the harsh, unforgiving expanse of the galaxy.","Ein Void-Meister ist ein Experte für die Bedienung und Verwaltung von Raumschiffen. Er überwacht entscheidende Schiffsfunktionen wie Navigation, Steuerung, Waffenkontrolle oder Maschinenwartung. Als erfahrene Veteranen des Raumfluges verfügen sie über unvergleichliche technische und taktische Fähigkeiten. Void-Meister sorgen für den reibungslosen und effektiven Betrieb des Schiffs eines Freihändlers und sind in der harten, unerbittlichen Weite der Galaxis unverzichtbar.",Finesse
9,Executioner,Vollstrecker,executioner.png,"An Executioner is a deadly enforcer, trained to deliver the Emperor’s justice with brutal efficiency. They serve as hunters, assassins, and executioners, skilled in combat, tracking, and killing their targets without mercy. Executioners are feared across the galaxy for their unwavering dedication to carrying out death sentences in the name of the Imperium.","Ein Vollstrecker ist ein tödlicher Vollstrecker des imperialen Willens, der darin ausgebildet ist, die Gerechtigkeit des Imperators mit brutaler Effizienz zu vollziehen. Sie dienen als Jäger, Assassinen und Henker, spezialisiert auf Kampf, Verfolgung und das erbarmungslose Töten ihrer Ziele. Vollstrecker sind in der gesamten Galaxis gefürchtet für ihre kompromisslose Hingabe, Todesurteile im Namen des Imperiums auszuführen.",Finesse
10,Sister Pariah,Schwester Paria,sister_pariah.png,"A Sister Pariah is a rare and feared individual born with the Pariah Gene, making them completely soulless and immune to psychic powers. They are often recruited by the Inquisition or the Sisters of Silence to serve as anti-psyker operatives. Their presence is deeply unsettling, causing unease or even terror among those around them, as they suppress psychic phenomena through their very existence.","Eine Schwester Pariah ist eine seltene und gefürchtete Person, die mit dem Pariah-Gen geboren wurde, was sie seelenlos und vollständig immun gegen psionische Kräfte macht. Sie werden oft von der Inquisition oder den Schwestern der Stille rekrutiert, um als Anti-Psioniker-Agenten zu dienen. Ihre bloße Anwesenheit ist zutiefst beunruhigend und kann bei Menschen in ihrer Umgebung Unbehagen oder sogar Angst auslösen, da sie psionische Phänomene durch ihre Existenz unterdrücken.",WP
